"Id","Data do Sorteio","Coluna 1","Coluna 2","Coluna 3","Coluna 4","Coluna 5","Coluna 6"
"","","","","","","",""
"1","3/11/1996","4","5","30","33","41","52"
"","","","","","","",""
"2","3/18/1996","9","37","39","41","43","49"
"","","","","","","",""
"3","3/25/1996","10","11","29","30","36","47"
"","","","","","","",""
"4","4/1/1996","1","5","6","27","42","59"
"","","","","","","",""
"5","4/8/1996","1","2","6","16","19","46"
"","","","","","","",""
"6","4/15/1996","7","13","19","22","40","47"
"","","","","","","",""
"7","4/22/1996","3","5","20","21","38","56"
"","","","","","","",""
"8","4/29/1996","4","17","37","38","47","53"
"","","","","","","",""
"9","5/6/1996","8","43","54","55","56","60"
"","","","","","","",""
"10","5/13/1996","4","18","21","25","38","57"
"","","","","","","",""
"11","5/20/1996","15","25","37","38","58","59"
"","","","","","","",""
"12","5/27/1996","4","16","19","20","27","43"
"","","","","","","",""
"13","6/3/1996","18","32","47","50","54","56"
"","","","","","","",""
"14","6/10/1996","2","16","23","27","47","53"
"","","","","","","",""
"15","6/17/1996","12","33","35","51","52","60"
"","","","","","","",""
"16","6/24/1996","20","32","34","49","58","60"
"","","","","","","",""
"17","7/1/1996","6","10","13","19","20","51"
"","","","","","","",""
"18","7/8/1996","23","27","36","37","42","56"
"","","","","","","",""
"19","7/15/1996","5","10","12","24","25","60"
"","","","","","","",""
"20","7/22/1996","11","25","28","30","33","51"
"","","","","","","",""
"21","7/29/1996","6","33","36","46","49","53"
"","","","","","","",""
"22","8/5/1996","1","9","31","38","46","56"
"","","","","","","",""
"23","8/12/1996","17","37","39","51","52","59"
"","","","","","","",""
"24","8/19/1996","1","8","14","28","33","43"
"","","","","","","",""
"25","8/25/1996","24","43","50","54","55","56"
"","","","","","","",""
"26","9/1/1996","10","22","50","53","57","58"
"","","","","","","",""
"27","9/8/1996","13","17","20","33","44","51"
"","","","","","","",""
"28","9/15/1996","3","6","22","24","54","60"
"","","","","","","",""
"29","9/22/1996","3","8","14","43","56","58"
"","","","","","","",""
"30","9/29/1996","7","14","15","29","38","50"
"","","","","","","",""
"31","10/6/1996","17","19","28","45","48","56"
"","","","","","","",""
"32","10/13/1996","5","14","33","36","43","44"
"","","","","","","",""
"33","10/20/1996","5","17","33","39","42","49"
"","","","","","","",""
"34","10/27/1996","13","15","17","40","53","57"
"","","","","","","",""
"35","11/3/1996","4","16","21","23","54","57"
"","","","","","","",""
"36","11/10/1996","3","13","17","25","29","51"
"","","","","","","",""
"37","11/17/1996","6","7","22","38","52","60"
"","","","","","","",""
"38","11/24/1996","10","42","43","45","54","55"
"","","","","","","",""
"39","12/1/1996","12","16","37","45","52","56"
"","","","","","","",""
"40","12/8/1996","3","5","8","12","46","47"
"","","","","","","",""
"41","12/15/1996","12","26","35","38","39","47"
"","","","","","","",""
"42","12/22/1996","7","11","19","24","33","36"
"","","","","","","",""
"43","12/29/1996","2","6","17","25","26","58"
"","","","","","","",""
"44","1/5/1997","14","18","29","38","44","47"
"","","","","","","",""
"45","1/12/1997","7","30","37","44","53","55"
"","","","","","","",""
"46","1/19/1997","1","23","24","32","46","60"
"","","","","","","",""
"47","1/26/1997","3","17","25","35","48","56"
"","","","","","","",""
"48","2/2/1997","2","5","28","34","47","50"
"","","","","","","",""
"49","2/9/1997","7","13","33","35","43","55"
"","","","","","","",""
"50","2/16/1997","6","16","21","44","57","58"
"","","","","","","",""
"51","2/23/1997","17","23","24","25","42","47"
"","","","","","","",""
"52","3/2/1997","15","30","38","46","58","59"
"","","","","","","",""
"53","3/9/1997","3","13","16","38","42","46"
"","","","","","","",""
"54","3/16/1997","5","9","18","21","36","56"
"","","","","","","",""
"55","3/23/1997","2","14","23","29","38","52"
"","","","","","","",""
"56","3/30/1997","2","7","20","35","51","59"
"","","","","","","",""
"57","4/6/1997","7","16","17","27","34","59"
"","","","","","","",""
"58","4/13/1997","12","27","30","37","44","49"
"","","","","","","",""
"59","4/20/1997","2","8","13","28","34","54"
"","","","","","","",""
"60","4/27/1997","3","14","15","20","21","38"
"","","","","","","",""
"61","5/4/1997","8","18","29","42","44","59"
"","","","","","","",""
"62","5/11/1997","6","8","13","24","31","52"
"","","","","","","",""
"63","5/18/1997","9","25","26","40","41","49"
"","","","","","","",""
"64","5/25/1997","8","12","23","50","54","60"
"","","","","","","",""
"65","6/1/1997","1","5","20","25","32","34"
"","","","","","","",""
"66","6/8/1997","12","13","15","26","33","48"
"","","","","","","",""
"67","6/15/1997","12","14","17","27","47","52"
"","","","","","","",""
"68","6/22/1997","1","3","12","13","53","59"
"","","","","","","",""
